mission_time_S,MOOStime_S,metric_total_dist_M,metric_mean_dist_M,deploy
start_MOOStime_S
13838.75498771667,8621343889.506029,354.7348293,17.73674147,1
13843.79482078552,8621343894.545862,355.6994183,17.78497092,1
13848.80883407593,8621343899.559875,356.7178629,17.83589314,1
13853.86366653442,8621343904.614708,357.7869847,17.88934924,1
13858.87161445618,8621343909.622656,359.2410155,17.96205077,1
13863.87979698181,8621343914.630838,359.8559972,17.99279986,1
13868.89233398438,8621343919.643375,361.1511992,18.05755996,1
13873.90315628052,8621343924.654198,362.271445,18.11357225,1
13878.91430854797,8621343929.66535,363.3298736,18.16649368,1
13883.94369506836,8621343934.694736,361.4978016,18.07489008,1
13888.95088005066,8621343939.701921,359.0337647,17.95168824,1
13894.00124740601,8621343944.752289,358.2294749,17.91147375,1
13899.09378433228,8621343949.844826,358.4389573,17.92194787,1
13904.13083267212,8621343954.881874,354.1972177,17.70986088,1
13909.13702774048,8621343959.888069,350.4119501,17.52059751,1
13914.14600753784,8621343964.897049,347.951772,17.3975886,1
13919.16172027588,8621343969.912762,343.8859212,17.19429606,1
13924.18531036377,8621343974.936352,335.8944862,16.79472431,1
13929.19393539429,8621343979.944977,332.4341423,16.62170711,1
13934.21699333191,8621343984.968035,331.600745,16.58003725,1
13939.23565673828,8621343989.986698,331.4625115,16.57312557,1
13944.68420791626,8621343995.435249,331.9946481,16.5997324,1
13949.90588760376,8621344000.656929,333.319708,16.6659854,1
13955.02987098694,8621344005.780912,334.6826686,16.73413343,1
13960.03798103333,8621344010.789022,335.5407647,16.77703824,1
13965.05869674683,8621344015.809738,336.4297502,16.82148751,1
13970.0679359436,8621344020.81897,337.5932457,16.87966229,1
13975.0769443512,8621344025.827986,338.5986651,16.92993325,1
13980.08578109741,8621344030.836823,339.4530186,16.97265093,1
13985.107006073,8621344035.858047,340.6402039,17.03201019,1
13990.1162147522,8621344040.867256,341.8174347,17.09087174,1
13995.12517547607,8621344045.876217,341.7069026,17.08534513,1
14000.1325302124,8621344050.883572,334.3128051,16.71564025,1
14005.14953804016,8621344055.900579,330.2246199,16.51123099,1
14010.16006088257,8621344060.911102,324.6252972,16.23126486,1
14015.17766189575,8621344065.928703,324.2722977,16.21361488,1
14020.18720054626,8621344070.938242,325.8909245,16.29454622,1
14025.19415855408,8621344075.9452,327.1354083,16.35677041,1
14030.20149993896,8621344080.952541,327.4965548,16.37482774,1
14035.22270202637,8621344085.973743,328.1359116,16.40679558,1
14040.24167823792,8621344090.99272,328.8902458,16.44451229,1
14045.26956939697,8621344096.020611,330.0983057,16.50491528,1
14050.27702713013,8621344101.028069,329.3156126,16.46578063,1
14055.28350448608,8621344106.034546,329.1800943,16.45900472,1
14060.29045677185,8621344111.041492,331.3540717,16.56770358,1
14065.29669952393,8621344116.047741,334.3432621,16.7171631,1
14070.30421638489,8621344121.055258,339.0718288,16.95359144,1
14075.31154632568,8621344126.062588,344.0239716,17.20119858,1
